Projection List:  ['product_type', 'region_name']
Clause List:  ['origin_region', '=', 'regions.region_id']
Relation List:  ['products', 'regions']

SELECT product_type, region_name FROM products, regions where origin_region = regions.region_id;
['ELECTRONICS', 'AMERICAS', 'p1.r1']
['MEDICAL', 'OCEANIA', 'p2.r5']
['APPLIANCES', 'ASIA', 'p3.r3']
['ELECTRONICS', 'EUROPE', 'p4.r2']
['APPLIANCES', 'ASIA', 'p5.r3']
['BEAUTY', 'AFRICA', 'p6.r4']
['BEAUTY', 'EUROPE', 'p7.r2']
['MEDICAL', 'ASIA', 'p8.r3']
['APPLIANCES', 'AMERICAS', 'p9.r1']
['MEDICAL', 'ASIA', 'p10.r3']
['BEAUTY', 'EUROPE', 'p11.r2']
['HOUSEHOLD', 'AFRICA', 'p12.r4']
['ELECTRONICS', 'AMERICAS', 'p13.r1']
['APPLIANCES', 'ASIA', 'p14.r3']
['MEDICAL', 'EUROPE', 'p15.r2']
['BEAUTY', 'ASIA', 'p16.r3']
['ELECTRONICS', 'EUROPE', 'p17.r2']
['APPLIANCES', 'AFRICA', 'p18.r4']
['HOUSEHOLD', 'AMERICAS', 'p19.r1']
['MEDICAL', 'OCEANIA', 'p20.r5']
['HOUSEHOLD', 'EUROPE', 'p21.r2']
['APPLIANCES', 'ASIA', 'p22.r3']
['HOUSEHOLD', 'AFRICA', 'p23.r4']
['ELECTRONICS', 'AFRICA', 'p24.r4']
['MEDICAL', 'EUROPE', 'p25.r2']
['APPLIANCES', 'AFRICA', 'p26.r4']
['HOUSEHOLD', 'ASIA', 'p27.r3']
['APPLIANCES', 'AFRICA', 'p28.r4']
['ELECTRONICS', 'AFRICA', 'p29.r4']
['ELECTRONICS', 'OCEANIA', 'p30.r5']
['ELECTRONICS', 'OCEANIA', 'p31.r5']
['APPLIANCES', 'EUROPE', 'p32.r2']
['APPLIANCES', 'AFRICA', 'p33.r4']
['BEAUTY', 'EUROPE', 'p34.r2']
['MEDICAL', 'AFRICA', 'p35.r4']
['HOUSEHOLD', 'AFRICA', 'p36.r4']
['ELECTRONICS', 'OCEANIA', 'p37.r5']
['ELECTRONICS', 'AMERICAS', 'p38.r1']
['HOUSEHOLD', 'EUROPE', 'p39.r2']
['ELECTRONICS', 'OCEANIA', 'p40.r5']
['MEDICAL', 'AMERICAS', 'p41.r1']
['HOUSEHOLD', 'ASIA', 'p42.r3']
['BEAUTY', 'OCEANIA', 'p43.r5']
['ELECTRONICS', 'OCEANIA', 'p44.r5']
['APPLIANCES', 'ASIA', 'p45.r3']
['BEAUTY', 'EUROPE', 'p46.r2']
['BEAUTY', 'ASIA', 'p47.r3']
['HOUSEHOLD', 'AFRICA', 'p48.r4']
['APPLIANCES', 'ASIA', 'p49.r3']
Number of rows:  49
Time taken by processSelectQuery() in seconds:  0.0031203340000000024
